id,도감번호,이름,설명,타입,키,분류,몸무게,특성
624,508,바랜드,사람과 사는 것을 좋아하는 듯하다. 야생에서 잡아도 3일만 지나면 사람을 따르게 된다.,['노말'],1.2,관대포켓몬,61.0,"['위협', '모래헤치기']"
625,509,쌔비냥,곤란해하는 모습을 보기 위해 사람의 물건을 훔친다. 훔처우와는 라이벌 관계다.,['악'],0.4,성악포켓몬,10.1,"['유연', '곡예']"
626,510,레파르다스,아름다운 털과 스타일에 쉽게 매료되지만 변덕스럽고 흉포한 포켓몬이다.,['악'],1.1,냉혹포켓몬,37.5,"['유연', '곡예']"
627,511,야나프,기운이 없는 포켓몬에게 머리의 잎사귀를 나눠준다. 피로를 풀어주는 효과가 있다.,['풀'],0.6,풀원숭이포켓몬,10.5,['먹보']
628,512,야나키,가시가 잔뜩 박힌 꼬리를 상대에게 힘껏 쳐서 공격한다. 기질이 격한 포켓몬이다.,['풀'],1.1,가시원숭이포켓몬,30.5,['먹보']
629,513,바오프,지능이 높고 나무열매는 구운 뒤 먹는 습성이 있다. 사람 도와주기를 좋아한다.,['불꽃'],0.6,고온포켓몬,11.0,['먹보']
630,514,바오키,몸속에서 태운 불꽃을 머리나 꼬리로 흩뿌려서 상대를 태운다.,['불꽃'],1.0,불티포켓몬,28.0,['먹보']
631,515,앗차프,머리 송아리에 모은 물은 영양 듬뿍. 꼬리를 사용해서 그 물을 초목에 뿌린다.,['물'],0.6,물뿌리기포켓몬,13.5,['먹보']
632,516,앗차키,꼬리에서 발사하는 고압의 물은 콘크리트 벽도 파괴할 수 있는 위력을 지녔다.,['물'],1.0,방수포켓몬,29.0,['먹보']
633,517,몽나,깊은 밤중 머리맡에 나타난다. 꿈을 먹는 동안 몸에 있는 무늬가 어렴풋이 빛난다.,['에스퍼'],0.6,꿈먹기포켓몬,23.3,"['예지몽', '싱크로']"
634,518,몽얌나,뿜어내는 연기가 거무스름할 때는 가까이 가지 않는 것이 좋다. 악몽이 현실이 되기 때문이다.,['에스퍼'],1.1,꿈결포켓몬,60.5,"['예지몽', '싱크로']"
635,519,콩둘기,사람이 사는 곳에 나타난다. 먹이를 뿌려주면 수백 마리가 모여들기 때문에 주의해야 한다.,"['노말', '비행']",0.3,아기비둘기포켓몬,2.1,"['부풀린가슴', '대운']"
636,520,유토브,하늘을 나는 속도는 그저 그렇다. 아무리 멀리 떨어져 있어도 주인과 자신의 둥지를 기억하고 있다.,"['노말', '비행']",0.6,들비둘기포켓몬,15.0,"['부풀린가슴', '대운']"
637,521,켄호로우,수컷의 모습 높은 비행 능력을 가졌다. 암컷은 지구력이 뛰어나며 수컷은 비행 속도가 뛰어나다.,"['노말', '비행']",1.2,프라이드포켓몬,29.0,"['부풀린가슴', '대운']"
638,521,켄호로우,암컷의 모습 높은 비행 능력을 가졌다. 암컷은 지구력이 뛰어나며 수컷은 비행 속도가 뛰어나다.,"['노말', '비행']",1.2,프라이드포켓몬,29.0,"['부풀린가슴', '대운']"
639,522,줄뮤마,심장의 고동으로 전기를 만든다. 놀라서 심박수가 올라가면 전압도 같이 올라간다.,['전기'],0.8,하전포켓몬,29.8,"['피뢰침', '전기엔진']"
640,523,제브라이카,성질이 사납고 공격적이다. 흥분하면 갈기를 노랗게 빛내며 전격을 방출한다.,['전기'],1.6,뇌전포켓몬,79.5,"['피뢰침', '전기엔진']"
641,524,단굴,철과 비슷하게 단단하지만 오랫동안 물에 담가두면 조금 부드러워진다고 한다.,['바위'],0.4,맨틀포켓몬,18.0,"['옹골참', '깨어진갑옷']"
642,525,암트르,오렌지색 결정이 빛나기 시작하면 조심해야 한다. 에너지를 쏘아대기 때문이다.,['바위'],0.9,광석포켓몬,102.0,"['옹골참', '깨어진갑옷']"
643,526,기가이어스,씩씩해서 공사 현장이나 채굴장에서 대왕끼리동이나 사람과 함께 일할 때도 있다.,['바위'],1.7,고압포켓몬,260.0,"['옹골참', '모래날림']"
644,527,또르박쥐,동굴을 올려다봤을 때 벽에 하트 모양 자국이 있다면 또르박쥐가 살고 있다는 증거다.,"['에스퍼', '비행']",0.4,박쥐포켓몬,2.1,"['천진', '서투름']"
645,528,맘박쥐,아주 강력한 음파를 내보낸 후에는 지쳐서 당분간 날 수 없게 된다.,"['에스퍼', '비행']",0.9,구애포켓몬,10.5,"['천진', '서투름']"
646,529,두더류,시속 50km 이상의 스피드로 땅속을 헤쳐 나간다. 지상을 달리는 자동차와 견줄 만하다.,['땅'],0.3,두더지포켓몬,8.5,"['모래헤치기', '모래의힘']"
647,530,몰드류,강철이 된 발톱과 머리로 드릴을 만들어 어떠한 두꺼운 철판도 꿰뚫는다.,"['땅', '강철']",0.7,땅밑포켓몬,40.4,"['모래헤치기', '모래의힘']"
648,531,다부니,귀의 더듬이로 상대의 컨디션이나 알에서 포켓몬이 언제 나올지도 알 수 있다.,['노말'],1.1,히어링포켓몬,31.0,"['치유의마음', '재생력']"
649,531,메가다부니,귀의 더듬이로 상대의 컨디션이나 알에서 포켓몬이 언제 나올지도 알 수 있다.,"['노말', '페어리']",1.5,히어링포켓몬,32.0,['치유의마음']
650,532,으랏차,항상 각재를 들고 다니며 토목 공사를 도와준다. 자라면 큰 각재로 바꿔 든다.,['격투'],0.6,근골포켓몬,12.5,"['근성', '우격다짐']"
651,533,토쇠골,철골을 짊어진 채 몸을 단련하고 있다. 단련한 근육을 동료와 서로 보여 주며 자랑한다.,['격투'],1.2,근골포켓몬,40.0,"['근성', '우격다짐']"
652,534,노보청,콘크리트를 만드는 기술은 2000년 전에 노보청에게 배운 것이라고 여겨지고 있다.,['격투'],1.4,근골포켓몬,87.0,"['근성', '우격다짐']"
653,535,동챙이,아름다운 파문이 펼쳐지는 물 아래에는 동챙이가 날카로운 소리로 울고 있다.,['물'],0.5,올챙이포켓몬,4.5,"['쓱쓱', '촉촉바디']"
654,536,두까비,두통을 일으킬 정도의 음파로 먹이를 충분히 약하게 만든 뒤 끈적끈적한 혀로 포박한다.,"['물', '땅']",0.8,진동포켓몬,17.0,"['쓱쓱', '촉촉바디']"
655,537,두빅굴,전신의 혹을 진동시켜서 지진과 같은 흔들림을 일으킨다. 삐딱구리와 가까운 종이다.,"['물', '땅']",1.5,진동포켓몬,62.0,"['쓱쓱', '독수']"
656,538,던지미,메치는 기술의 실력은 일류다. 싸움으로 흘린 땀이 배어 띠의 색이 진해져 간다.,['격투'],1.3,유도포켓몬,55.5,"['근성', '정신력']"
657,539,타격귀,한결같이 강해지기를 추구한다. 산에서 수행 중인 타격귀를 발견한다면 조용히 물러나자.,['격투'],1.4,태권도포켓몬,51.0,"['옹골참', '정신력']"
658,540,두르보,모아머가 입혀 준 잎사귀 옷을 본보기 삼아 흉내 내어 나뭇잎을 갉아서 옷을 만든다.,"['벌레', '풀']",0.3,재봉포켓몬,2.5,"['벌레의알림', '엽록소']"
659,541,두르쿤,나무뿌리에서 조용히 지낸다. 신선한 잎사귀보다 부드러워진 낙엽을 먹이로 선호한다.,"['벌레', '풀']",0.5,잎숨기포켓몬,7.3,"['리프가드', '엽록소']"
660,542,모아머,온화하고 보호 본능이 강하다. 잎사귀로 된 팔은 거목을 일도양단할 정도로 예리하다.,"['벌레', '풀']",1.2,육아포켓몬,20.5,"['벌레의알림', '엽록소']"
661,543,마디네,태우지네와는 종류가 다른 동료지만 서로 만나면 큰 싸움이 된다.,"['벌레', '독']",0.4,지네포켓몬,5.3,"['독가시', '벌레의알림']"
662,544,휠구,고속으로 회전해 상대에게 돌격한다. 최고 시속은 약 100km에 달한다.,"['벌레', '독']",1.2,눈썹지네포켓몬,58.5,"['독가시', '벌레의알림']"
663,545,펜드라,목의 가시로 먹이를 잡은 채 그대로 땅으로 내동댕이쳐서 독가시를 꽂는다.,"['벌레', '독']",2.5,메가지네포켓몬,200.5,"['독가시', '벌레의알림']"
664,546,소미안,소미안이 뿜는 솜을 사용한 베개와 이불은 가볍고 통기성이 좋은 고급품이다.,"['풀', '페어리']",0.3,솜뭉치포켓몬,0.6,"['짓궂은마음', '틈새포착']"
665,547,엘풍,아무리 좁은 틈이라도 바람처럼 빠져나간다. 하얀 털 뭉치를 남기고 간다.,"['풀', '페어리']",0.7,바람숨기포켓몬,6.6,"['짓궂은마음', '틈새포착']"
666,548,치릴리,빠져도 바로 자라나는 머리의 잎사귀는 아주 쓰지만 갉아 먹으면 바로 기운이 난다.,['풀'],0.5,뿌리포켓몬,6.6,"['엽록소', '마이페이스']"
667,549,드레디어,머리의 꽃 장식에서 나는 향기를 맡으면 편안해지나 손질이 아주 까다롭다.,['풀'],1.1,꽃장식포켓몬,16.3,"['엽록소', '마이페이스']"
668,549,드레디어,히스이의 모습 눈 덮인 산에 살기 때문에 다릿심이 발달한 것으로 추측된다. 화관을 통해 주위에 있는 이를 고무시키는 향기를 내보낸다.,"['풀', '격투']",1.2,스핀포켓몬,19.2,"['엽록소', '의욕']"
669,550,배쓰나이,적색근의 모습 성질이 사납고 공격적이다. 생명력도 대단해서 모르는 사이에 수가 늘어나 있다.,['물'],1.0,흉포포켓몬,18.0,"['이판사판', '적응력']"
670,550,배쓰나이,청색근의 모습 같은 색끼리 모여서 무리를 이룬다. 최대의 적은 빨간색 배쓰나이 무리다.,['물'],1.0,흉포포켓몬,18.0,"['돌머리', '적응력']"
671,550,배쓰나이,백색근의 모습 혹한의 바다에서 무리를 이루어 먹이를 나눠 먹으며 지낸다. 때가 되면 태어났던 강으로 돌아간다.,['물'],1.0,온후포켓몬,18.0,"['주눅', '적응력']"
672,551,깜눈크,모래 속에 숨어서 헤엄치는 것처럼 이동한다. 적에게 들키지 않으면서 체온이 내려가지 않기 위한 지혜다.,"['땅', '악']",0.7,사막악어포켓몬,15.2,"['위협', '자기과신']"
673,552,악비르,얇은 막으로 덮여 있는 두 눈은 한밤중에도 잘 보인다. 몇 마리가 무리 지어 생활한다.,"['땅', '악']",1.0,사막악어포켓몬,33.4,"['위협', '자기과신']"
674,553,악비아르,강력한 턱으로 물고 그대로 힘껏 몸을 비틀어 먹이를 절단한다.,"['땅', '악']",1.5,위협포켓몬,96.3,"['위협', '자기과신']"
675,554,달막화,몸 안에서 타오르는 불꽃이 힘의 원천이다. 불꽃이 작아지면 금세 잠들어 버린다.,['불꽃'],0.6,달마포켓몬,37.5,['의욕']
676,554,달막화,가라르의 모습 눈이 많이 쌓인 곳에 사는 동안 불꽃 주머니가 차가워져서 퇴화했다. 그리고 냉기를 만드는 기관이 생겼다.,['얼음'],0.7,달마포켓몬,40.0,['의욕']
677,555,불비달마,노말모드 혈기왕성한 포켓몬. 굵직한 팔에서 날리는 펀치는 덤프트럭도 가루로 만들어버린다.,['불꽃'],1.3,염상포켓몬,92.9,['우격다짐']
678,555,불비달마,달마모드 명상을 통해 난폭한 마음을 가라앉히고 사이코 파워를 더욱 갈고닦고 있다.,"['불꽃', '에스퍼']",1.3,염상포켓몬,92.9,['달마모드']
679,555,불비달마,가라르의 모습 머리 위에 있는 눈덩이에 먹이를 보관해둔다. 눈보라가 치는 날에는 사람이 사는 마을까지 내려온다.,['얼음'],1.7,달마포켓몬,120.0,['무아지경']
680,555,불비달마,가라르의 모습 / 달마모드 퇴화했던 불꽃 주머니가 분노에 의해 부활했다. 사방팔방 불꽃을 내뿜으며 날뛴다.,"['얼음', '불꽃']",1.7,염상포켓몬,120.0,['달마모드']
681,556,마라카치,마라카스 같은 소리를 낸다. 리듬이 경쾌해서 새포켓몬은 깜짝 놀라 허둥지둥 날아가버린다.,['풀'],1.0,선인장포켓몬,28.0,"['저수', '엽록소']"
682,557,돌살이,마음에 드는 돌멩이에 구멍을 파서 보금자리로 삼는다. 단굴이나 탄동에게는 천적이다.,"['벌레', '바위']",0.3,돌집포켓몬,14.5,"['옹골참', '조가비갑옷']"
683,558,암팰리스,건조한 곳을 좋아하며 비가 내리는 날에는 바위에서 나오지 않는다. 자기 영역에 대한 의식이 강하다.,"['벌레', '바위']",1.4,바위집포켓몬,200.0,"['옹골참', '조가비갑옷']"
684,559,곤율랭,축 늘어난 가죽을 목까지 끌어 올려서 가드한다. 가죽이 늘어난 개체일수록 대단하다고 한다.,"['악', '격투']",0.6,탈피포켓몬,11.8,"['탈피', '자기과신']"
685,560,곤율거니,영역을 침범한 상대를 집단으로 때려눕힌다. 입에서 산성 액체를 뱉는다.,"['악', '격투']",1.1,악당포켓몬,30.0,"['탈피', '자기과신']"
686,561,심보러,사이코 파워로 하늘을 난다. 고대 도시의 수호신 또는 수호신의 사자로 일컬어진다.,"['에스퍼', '비행']",1.4,흡사새포켓몬,14.0,"['미라클스킨', '매직가드']"
687,562,데스마스,밤마다 유적을 떠돈다. 가지고 있는 마스크는 자신이 인간이던 시절의 얼굴이라고 한다.,['고스트'],0.5,영혼포켓몬,1.5,['미라']
688,562,데스마스,가라르의 모습 저주가 새겨진 점토판이 데스마스에 씌었다. 원념의 파워를 흡수했다고 전해진다.,"['땅', '고스트']",0.5,영혼포켓몬,1.5,['떠도는영혼']
689,563,데스니칸,황금으로 된 반짝거리는 몸. 자신이 인간이었다는 사실을 이제는 기억하지 못할 것이다.,['고스트'],1.7,관포켓몬,76.5,['미라']
690,564,프로토가,골격을 조사해보니 약 1000m의 심해까지 잠수할 수 있었던 것 같다.,"['물', '바위']",0.7,옛날거북포켓몬,16.5,"['하드록', '옹골참']"
691,565,늑골라,단단한 등껍질을 만들기 위해 먹이의 딱딱한 껍데기나 뼈도 통째로 깨물어 먹었다.,"['물', '바위']",1.2,옛날거북포켓몬,81.0,"['하드록', '옹골참']"
692,566,아켄,모든 새포켓몬의 조상이다. 아켄 자체는 아직 날지 못해 나무 위를 점프해서 이동했다.,"['바위', '비행']",0.5,최초새포켓몬,9.5,['무기력']
693,567,아케오스,날 수도 있었지만 대부분 지상을 뛰어다녔다. 그 시속은 평균 40km이다.,"['바위', '비행']",1.4,최초새포켓몬,32.0,['무기력']
694,568,깨봉이,비위생적인 장소를 좋아한다. 쓰레기를 어질러놓은 채 내버려 두면 방에 나타나 그대로 눌러앉는다.,['독'],0.6,쓰레기봉투포켓몬,31.0,"['악취', '점착']"
695,569,더스트나,먹은 쓰레기가 체내에서 독으로 변화한다. 먹은 쓰레기에 따라 독의 주성분도 바뀐다.,['독'],1.9,쓰레기장포켓몬,107.3,"['악취', '깨어진갑옷']"
696,569,더스트나,거다이맥스의 모습 거다이맥스의 파워에 의해 진해진 독가스가 버려진 장난감의 형태로 굳었다.,['독'],21.0,쓰레기장포켓몬,,"['악취', '깨어진갑옷']"
697,570,조로아,상대의 모습으로 둔갑하여 놀라게 한다. 말수가 적은 아이로 둔갑해 있을 때가 잦다고 한다.,['악'],0.7,나쁜여우포켓몬,12.5,['일루전']
698,570,조로아,히스이의 모습 죽은 영혼이 히스이 땅에서 되살아났다. 원한은 곧 힘이 되어 머리에 피어오르고 상대의 모습으로 변하여 원한을 풀려 한다.,"['노말', '고스트']",0.7,원한여우포켓몬,12.5,['일루전']
699,571,조로아크,조로아크를 잡으려 한 사람을 환영의 경치 속에 가둬서 혼내 줬다고 전해진다.,['악'],1.6,요괴여우포켓몬,81.1,['일루전']
700,571,조로아크,히스이의 모습 백발을 흐트러트린 모습은 마치 사신 같다. 자신의 몸이 찢어질 정도의 강한 원한을 이용해 함께 죽을 각오로 원수의 숨통을 노린다.,"['노말', '고스트']",1.6,저주여우포켓몬,73.0,['일루전']
701,572,치라미,자신의 몸이나 보금자리를 청소하느라 더러워진 꼬리는 깨끗한 샘물로 하루에 걸쳐서 씻는다.,['노말'],0.4,친칠라포켓몬,5.8,"['헤롱헤롱바디', '테크니션']"
702,573,치라치노,하얀 털은 특별한 기름으로 코팅되어 있어서 상대의 공격을 흘려 버린다.,['노말'],0.5,스카프포켓몬,7.5,"['헤롱헤롱바디', '테크니션']"
703,574,고디탱,평소에는 매우 천진난만하다. 보이지 않는 무언가를 보고 있을 때는 눈도 깜빡이지 않고 계속 말이 없다.,['에스퍼'],0.4,응시포켓몬,5.8,"['통찰', '승기']"
704,575,고디보미,아이를 최면술로 재우고는 데려가 버리기 때문에 별이 빛나는 밤에는 주의해야 한다.,['에스퍼'],0.7,조작포켓몬,18.0,"['통찰', '승기']"
705,576,고디모아젤,사이코 파워를 발산하여 상대에게 우주가 끝나는 꿈을 보여 준다. 그 꿈은 허무하고도 아름답다고 한다.,['에스퍼'],1.5,천체포켓몬,44.0,"['통찰', '승기']"
706,577,유니란,특수한 액체에 몸이 둘러싸여 있어 어떠한 환경에서도 살 수 있다.,['에스퍼'],0.3,세포포켓몬,1.0,"['방진', '매직가드']"
707,578,듀란,둘로 분열된 뇌를 가지고 있어서 갑자기 다른 행동을 취할 때가 있다.,['에스퍼'],0.6,분할포켓몬,8.0,"['방진', '매직가드']"
708,579,란쿨루스,사이코 파워를 사용해 특수한 액체로 만들어진 팔을 조종해서 바위를 부순다.,['에스퍼'],1.0,증폭포켓몬,20.1,"['방진', '매직가드']"
709,580,꼬지보리,하늘을 나는 것은 아직 서툴다. 부모 스완나의 춤을 보고 날개를 움직이는 법을 터득한다.,"['물', '비행']",0.5,물새포켓몬,5.5,"['날카로운눈', '부풀린가슴']"
710,581,스완나,무리의 리더를 중심으로 일사불란하게 춤을 추며 단결력을 높인다.,"['물', '비행']",1.3,백조포켓몬,24.2,"['날카로운눈', '부풀린가슴']"
711,582,바닐프티,더운 곳에서는 살 수 없다. 냉기를 뿜어 눈을 내리게 한 뒤 쌓인 눈 속에 들어가 잠든다.,['얼음'],0.4,신설포켓몬,5.7,"['아이스바디', '눈숨기']"
712,583,바닐리치,깨끗한 물을 마셔서 얼음으로 된 몸을 크게 만든다. 날씨가 맑은 날에는 잘 발견되지 않는다.,['얼음'],1.1,빙설포켓몬,41.0,"['아이스바디', '눈숨기']"
713,584,배바닐라,분노가 정점에 달하면 눈보라를 불게 하여 적도 아군도 꽁꽁 얼려버린다.,['얼음'],1.3,블리자드포켓몬,57.5,"['아이스바디', '눈퍼뜨리기']"
714,585,사철록,봄의 모습 계절에 따라 냄새도 변한다. 초봄에는 은은하게 달콤하면서 마음이 차분해지는 향기가 난다.,"['노말', '풀']",0.6,계절포켓몬,19.5,"['엽록소', '초식']"
715,585,사철록,여름의 모습 밭에 들어오지 못하도록 천적인 루가루암에게 경비를 맡기는 농가가 많다.,"['노말', '풀']",0.6,계절포켓몬,19.5,"['엽록소', '초식']"
716,585,사철록,가을의 모습 낯을 가리지 않는 성격이라 인간이 앞에 있어도 눈치 보지 않는다. 먹이를 주면 금방 친해질 수 있다.,"['노말', '풀']",0.6,계절포켓몬,19.5,"['엽록소', '초식']"
717,585,사철록,겨울의 모습 사철록의 체취는 계절에 따라 변하지만 겨울의 모습이 되면 거의 냄새가 나지 않게 된다.,"['노말', '풀']",0.6,계절포켓몬,19.5,"['엽록소', '초식']"
718,586,바라철록,봄의 모습 뿔에 많은 꽃이 핀 바라철록은 꽃에 영양분을 빼앗기기 때문에 성장이 조금 늦다고 한다.,"['노말', '풀']",1.9,계절포켓몬,92.5,"['엽록소', '초식']"
719,586,바라철록,여름의 모습 애호가가 많은 포켓몬. 뿔에 무성하게 자란 가지와 잎이 굵고 클수록 훌륭한 것으로 여겨진다.,"['노말', '풀']",1.9,계절포켓몬,92.5,"['엽록소', '초식']"
720,586,바라철록,가을의 모습 애호가가 많은 포켓몬. 뿔에서 늘어진 가지와 잎의 빨간색이 짙을수록 멋진 것으로 여겨진다.,"['노말', '풀']",1.9,계절포켓몬,92.5,"['엽록소', '초식']"
721,586,바라철록,겨울의 모습 이 모습인 시기에는 얌전하고 매우 길들이기 쉬운 것으로 알려져 있어 파트너로 만들 절호의 기회다.,"['노말', '풀']",1.9,계절포켓몬,92.5,"['엽록소', '초식']"
722,587,에몽가,전기를 내뿜으며 하늘을 춤추듯이 난다. 귀엽지만 성가시다.,"['전기', '비행']",0.4,하늘다람쥐포켓몬,5.0,['정전기']
723,588,딱정곤,전기 에너지에 반응하는 이상한 체질을 지녔다. 쪼마리와 함께 있으면 진화한다.,['벌레'],0.5,덥석물기포켓몬,5.9,"['벌레의알림', '탈피']"
724,589,슈바르고,쪼마리의 껍질을 빼앗아 완전히 무장했다. 가라르지방에서는 매우 인기가 높다.,"['벌레', '강철']",1.0,기병포켓몬,33.0,"['벌레의알림', '조가비갑옷']"
725,590,깜놀버슬,"몬스터볼의 개발자가 깜놀버슬을 좋아했다는 설이 있지만, 진위는 불명하다.","['풀', '독']",0.2,버섯포켓몬,1.0,['포자']
726,591,뽀록나,내뿜는 독 포자를 조심해야 한다. 포자에 닿은 부분에서 뽀록나의 갓을 닮은 버섯이 자라기 때문이다.,"['풀', '독']",0.6,버섯포켓몬,10.5,['포자']
727,592,탱그릴,수컷의 모습 베일과도 같은 손발로 먹이를 끌어안아 8000m 아래의 심해로 끌고 들어간다.,"['물', '고스트']",1.2,부유포켓몬,33.0,"['저수', '저주받은바디']"
728,592,탱그릴,암컷의 모습 베일과도 같은 손발로 먹이를 끌어안아 8000m 아래의 심해로 끌고 들어간다.,"['물', '고스트']",1.2,부유포켓몬,33.0,"['저수', '저주받은바디']"
729,593,탱탱겔,수컷의 모습 몸의 대부분이 바닷물과 같은 성분으로 이루어져 있다. 침몰선을 거처로 삼는다.,"['물', '고스트']",2.2,부유포켓몬,135.0,"['저수', '저주받은바디']"
730,593,탱탱겔,암컷의 모습 몸의 대부분이 바닷물과 같은 성분으로 이루어져 있다. 침몰선을 거처로 삼는다.,"['물', '고스트']",2.2,부유포켓몬,135.0,"['저수', '저주받은바디']"
731,594,맘복치,상처 입거나 약해진 포켓몬을 지느러미로 부드럽게 안으며 특수한 점막으로 치료한다.,['물'],1.2,돌보기포켓몬,31.6,"['치유의마음', '촉촉바디']"
732,595,파쪼옥,거리에서 사는 파쪼옥은 민가의 콘센트에서 전기를 빨아들이는 방법을 알고 있다.,"['벌레', '전기']",0.1,들러붙기포켓몬,0.6,"['복안', '긴장감']"
733,596,전툴라,전기를 띤 실로 함정을 설치한다. 감전돼서 움직이지 못하는 먹이를 천천히 먹어 치운다.,"['벌레', '전기']",0.8,전기거미포켓몬,14.3,"['복안', '긴장감']"
734,597,철시드,가시를 날려서 몸을 지킨다. 원하는 방향으로 날리기 위해서는 많은 훈련이 필요하다.,"['풀', '강철']",0.6,가시열매포켓몬,18.8,['철가시']
735,598,너트령,가시로 암반에 상처를 낸 다음 촉수 끝을 이용해서 영양분을 흡수한다.,"['풀', '강철']",1.0,가시공포켓몬,110.0,['철가시']
736,599,기어르,2개의 몸은 쌍둥이보다도 가깝다. 다른 몸과 있으면 제대로 맞물리지 못한다.,['강철'],0.3,톱니바퀴포켓몬,21.0,"['플러스', '마이너스']"
737,600,기기어르,전력을 다할 때는 왕기어의 바깥쪽 톱니와 꼬마기어가 맞물린다. 회전 속도를 빠르게 하기 위함이다.,['강철'],0.6,톱니바퀴포켓몬,51.0,"['플러스', '마이너스']"
738,601,기기기어르,가시 끝에서 강한 전격을 발사한다. 빨간 코어에 많은 에너지를 비축하고 있다.,['강철'],0.6,톱니바퀴포켓몬,81.0,"['플러스', '마이너스']"
739,602,저리어,한 마리의 전력은 적지만 많은 저리어가 연결되면 번개와 같은 위력이 된다.,['전기'],0.2,전기물고기포켓몬,0.3,['부유']
740,603,저리릴,둥근 무늬가 발전 기관이다. 상대를 휘감은 후 무늬를 딱 붙여서 전기를 흘려보낸다.,['전기'],1.2,전기물고기포켓몬,22.0,['부유']
741,604,저리더프,팔 힘으로 바다에서 기어 나와 물가에 있는 먹이를 덮친다. 한순간에 바다로 끌고 들어간다.,['전기'],2.1,전기물고기포켓몬,80.5,['부유']
742,605,리그레,TV 근처에 있으면 모니터에 기묘한 풍경이 비친다. 리그레의 고향이라 여겨지고 있다.,['에스퍼'],0.5,브레인포켓몬,9.0,"['텔레파시', '싱크로']"
743,606,벰크,벰크가 나타난 목장에서는 배우르 1마리가 어느샌가 모습을 감춘다.,['에스퍼'],1.0,브레인포켓몬,34.5,"['텔레파시', '싱크로']"
744,607,불켜미,평소 불꽃은 꺼져 있지만 사람이나 포켓몬의 생명력을 흡수하면 불꽃이 반짝인다.,"['고스트', '불꽃']",0.3,양초포켓몬,3.1,"['타오르는불꽃', '불꽃몸']"
745,608,램프라,임종 때 나타나서 영혼이 육체를 떠나면 재빨리 빨아들여 버린다.,"['고스트', '불꽃']",0.6,램프포켓몬,13.0,"['타오르는불꽃', '불꽃몸']"
746,609,샹델라,괴상한 불꽃으로 태워진 영혼은 갈 곳을 잃고 이승을 영원히 헤맨다.,"['고스트', '불꽃']",1.0,권유포켓몬,34.3,"['타오르는불꽃', '불꽃몸']"
747,610,터검니,땅속에 만든 굴에 산다. 먼 옛날 사람들은 어금니를 식칼 대신 사용했다.,['드래곤'],0.6,이빨포켓몬,18.0,"['투쟁심', '틀깨기']"
748,611,액슨도,어금니는 부러지면 다시 자라지 않기 때문에 결정적인 순간에만 사용한다고 한다.,['드래곤'],1.0,도끼턱포켓몬,36.0,"['투쟁심', '틀깨기']"
749,612,액스라이즈,동굴이나 폐광산을 거처로 쓴다. 온순하지만 어금니를 건드리면 크게 화를 내기 때문에 주의가 필요하다.,['드래곤'],1.8,도끼턱포켓몬,105.5,"['투쟁심', '틀깨기']"
750,613,코고미,추운 지역의 바닷가에 많다. 콧물을 흘리고 있지 않으면 병에 걸렸을 수도 있다.,['얼음'],0.5,빙결포켓몬,8.5,"['눈숨기', '눈치우기']"
751,614,툰베어,육식을 하는 영악한 포켓몬. 먹이를 잡으면 냉기를 뿜어서 얼린 뒤 보관한다.,['얼음'],2.6,동결포켓몬,260.0,"['눈숨기', '눈치우기']"
752,615,프리지오,추운 계절에 나타난다. 설산에서 죽은 포켓몬이나 사람이 환생한 것이라고 전해진다.,['얼음'],1.1,결정포켓몬,148.0,['부유']
753,616,쪼마리,"상대에게 공격받으면 껍질의 뚜껑을 꽉 닫아서 몸을 지킨다. 단, 딱정곤에게는 열리고 만다.",['벌레'],0.4,달팽이포켓몬,7.7,"['촉촉바디', '조가비갑옷']"
754,617,어지리더,재빠른 움직임으로 독을 날려서 싸운다. 어지리더가 주인공인 영화나 만화는 인기가 많다.,['벌레'],0.8,탈껍질포켓몬,25.3,"['촉촉바디', '점착']"
755,618,메더,갯벌이 보금자리다. 진흙 속에 사는 세균에 의해 전기를 만드는 기관이 발달했다.,"['땅', '전기']",0.7,트랩포켓몬,11.0,"['정전기', '유연']"
756,618,메더,가라르의 모습 철분이 풍부한 진흙 속에서 서식하다 보니 튼튼한 강철의 몸으로 변화했다.,"['땅', '강철']",0.7,트랩포켓몬,20.5,['의태']
757,619,비조푸,물 흐르는 듯한 연속 공격을 펼쳐서 상대를 압도한다. 날카로운 손톱으로 상대를 베어 가른다.,['격투'],0.9,무술포켓몬,20.0,"['정신력', '재생력']"
758,620,비조도,기묘한 울음소리를 낸다면 위험하다. 눈에 보이지도 않는 킥과 촙의 연속 공격이 시작된다.,['격투'],1.4,무술포켓몬,35.5,"['정신력', '재생력']"
759,621,크리만,토굴에 산다. 몸이 차가워지면 움직이지 못하기 때문에 일광욕을 거르지 않는다.,['드래곤'],1.6,동굴포켓몬,139.0,"['까칠한피부', '우격다짐']"
760,622,골비람,환상 속 고대 문명의 과학에 의해 탄생한 포켓몬이라 여겨지고 있다.,"['땅', '고스트']",1.0,골렘포켓몬,92.0,"['철주먹', '서투름']"
761,623,골루그,가슴에 있는 봉인이 풀리면 무작정 날뛰고 다니면서 마을을 폐허로 만들어 버린다.,"['땅', '고스트']",2.8,골렘포켓몬,330.0,"['철주먹', '서투름']"
762,624,자망칼,강한 상대에게도 겁먹지 않고 덤빈다. 여차하면 상대에게 달라붙어서 몸에 달린 칼날로 찌른다.,"['악', '강철']",0.5,날붙이포켓몬,10.2,"['오기', '정신력']"
